what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389906638049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389907257702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389907522125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389907527500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389907527574
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389907529401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389907530517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389907613316
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1389907625878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1389907627471
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1389907627664
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1389907627977
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1389907628224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389907628954
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389907629324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389907636763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389907636892
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389907639362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389907650730
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389907657933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389907712811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389907740153
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389907743856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1389907744988
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1389907756392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389907761354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389907776594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389907899030
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389907931786
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1389907934502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389907935798
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389907936936
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389908031818
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389908032017
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1389908037653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1389908038052
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1389908039506
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1389908041155
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389908043236
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389908043428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1389908044816
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389908049031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1389908054051
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1389908054867
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1389908055004
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1389908055312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389908056075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389908126670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389908139456
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389908155669
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389908156022
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389908156221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1389908157867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389908159744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389908190877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389908192924
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389908658233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389908669281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389908734835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1389908761831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389908824648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389908863251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389908864802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389910237520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389910290471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389910291873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389910292665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389910970381
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1389910993913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1389910997526
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389911009477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389911028941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389911102349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389911104302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389911366628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389911482674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389913285991
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1389913378539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389913433792
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389913435231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1389913511652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389913521974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389913869981
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389913903942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1389913904933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389913907874
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389913949836
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389913950200
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389913951008
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389913953600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389913954866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389913956861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389913962699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389913979988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389913981443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1389913984283
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389913985835
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389913985982
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389913986203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1389913987377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389913988268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389914019844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389914022955
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1389914050985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1389914051373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1389914051603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1389914051897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1389914052293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1389914052643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1389914053418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1389914053720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1389914054119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1389914056193
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1389914058228
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1389914058397
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1389914058557
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1389914058725
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1389914059196
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1389914059359
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1389914059570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1389914061146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389914061758
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1389914094582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389914097819
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1389914110612
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1389914110749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1389914110918
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389914113509
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389914129943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389914149606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389914153743
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1389914160731
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389914171685
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389914305160
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389914309942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389914310136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389914315623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389916209797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389916218916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389916285968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389916326852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389916326979
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389916362943
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389916363135
