what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1390190949114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390190951474
error,log,,,"Failed converting ECJ parse tree to Lombok for file C:\\Users\\RT\\Fuzz\\simpleAppTestRepository\\workspace\\SimpleApp\\src\\com\\fuzz\\simpleapp\\SectionFragment.java",1390190951839
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1390190955440
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1390190955808
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1390190956678
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1390190966501
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1390190966771
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1390190967001
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordPrevious",1390190967402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390190977976
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1390190978428
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1390190982347
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1390191027016
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1390191027237
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1390191027412
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1390191027606
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1390191027809
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1390191028032
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1390191028218
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1390191028411
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1390191028590
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1390191028767
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.wordNext",1390191028957
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1390191029409
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1390191029685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390191032915
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1390191037370
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1390191037604
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390191038447
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390191039649
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390191112295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390191234992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390191927065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390191936680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390192006520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390192014239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390192396168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390192398057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390192410814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390192411155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390192411335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390192413019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390229645885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390229650669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390230897256
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1390231019470
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390231135288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1390231139645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390234235572
