what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1390240397020
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390240404151
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390240404287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390240411216
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1390240732957
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1390240733190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1390240734354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390240736555
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.lineEnd",1390240759538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390240762446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390240763546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390240789917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390240990552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390240993397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390241002935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390241003126
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordNext",1390241021191
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1390241034624
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1390241034816
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1390241034974
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1390241035193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1390241036251
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1390241037830
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1390241038289
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1390241040971
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1390241044621
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1390241046515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1390241047304
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390241048195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390241054500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390241098044
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1390241146003
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1390241146349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1390241153276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390241156045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390241157670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390241180444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390241192453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390241230650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390241350173
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1390241354980
